# GREAT version 3.0.0	Species assembly: hg19	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 150000 bp max extension, curated regulatory domains included										
# Term Name 	 Binom Rank 	 Binom Raw P-Value 	  Binom FDR Q-Val  	 Binom Fold Enrichment 	 Binom Observed Region Hits 	 Binom Region Set Coverage 	 Hyper Rank 	  Hyper FDR Q-Val  	 Hyper Fold Enrichment 	 Hyper Observed Gene Hits 	 Hyper Total Genes 	 Hyper Gene Set Coverage
negative regulation of transferase activity	286	2.318841E-84	8.46458043356643E-83	2.008744	954	0.02103128	301	0.000156116083455	1.128118	184	195	0.01219351
negative regulation of kinase activity	297	2.620379E-81	9.21102921212121E-80	2.016652	910	0.02006129	355	0.00050972256	1.124086	173	184	0.01146455
negative regulation of protein kinase activity	315	9.997856E-77	3.31357513142857E-75	2.010175	865	0.01906924	414	0.001439421052174	1.119979	163	174	0.01080186
negative regulation of MAPK cascade	367	7.302324E-67	2.07728235858311E-65	2.176404	622	0.01371222	451	0.00297085362306	1.141216	105	110	0.00695825
transforming growth factor beta receptor signaling pathway	416	1.714991E-58	4.30396779807692E-57	2.014739	652	0.01437358	416	0.001466082925962	1.138629	120	126	0.007952286
regulation of mitochondrion organization	573	9.2954E-39	1.69361214659686E-37	2.108088	381	0.008399286	418	0.001526535051675	1.1664	80	82	0.005301524
ER-nucleus signaling pathway	629	2.824969E-34	4.68881977106518E-33	2.013051	375	0.008267014	315	0.000221408404571	1.170652	94	96	0.006229291
regulation of mitochondrial outer membrane permeabilization	662	5.797544E-32	9.14295458610272E-31	2.524929	213	0.004695664	608	0.027495251052632	1.19556	36	36	0.002385686
regulation of RNA stability	697	3.067778E-30	4.59506489526542E-29	2.325674	236	0.005202707	502	0.007950515450199	1.19556	44	44	0.002915838
positive regulation of cell morphogenesis involved in differentiation	710	1.089905E-29	1.60262087323944E-28	2.25085	248	0.005467252	626	0.031939145367412	1.19556	35	35	0.002319417
regulation of mRNA stability	715	2.160047E-29	3.15397072447552E-28	2.355851	223	0.004916117	544	0.012554775529412	1.19556	41	41	0.002717031
positive regulation of mitochondrion organization	725	4.376198E-29	6.30172512E-28	2.20827	253	0.005577478	420	0.001584331645714	1.19556	54	54	0.003578529
viral gene expression	744	1.855042E-28	2.60304280645161E-27	2.117792	272	0.00599634	665	0.046775548691729	1.120051	89	95	0.005897946
negative regulation of ERBB signaling pathway	768	4.226686E-27	5.74565128125E-26	2.181962	241	0.005312934	533	0.010713114709193	1.19556	42	42	0.0027833
negative regulation of epidermal growth factor receptor signaling pathway	840	6.474523E-25	8.04690715714286E-24	2.140924	230	0.005070435	544	0.012554775529412	1.19556	41	41	0.002717031
regulation of transcription from RNA polymerase II promoter in response to stress	846	9.148249E-25	1.12893285531915E-23	2.283924	198	0.004364983	596	0.023451673288591	1.19556	37	37	0.002451955
regulation of DNA-dependent transcription in response to stress	881	8.84033E-24	1.04759415664018E-22	2.165771	213	0.004695664	533	0.010713114709193	1.19556	42	42	0.0027833
activation of signaling protein activity involved in unfolded protein response	991	4.338831E-21	4.57087746115035E-20	2.009579	224	0.004938163	447	0.002852527973154	1.177167	64	65	0.004241219
response to cold	996	5.869821E-21	6.15270393975904E-20	2.159304	187	0.004122484	640	0.0373636670625	1.19556	34	34	0.002253148
nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	1009	1.035316E-20	1.0712288444004E-19	2.030293	214	0.004717709	556	0.013879809129496	1.17342	53	54	0.00351226
cell-substrate junction	64	2.574536E-69	5.0887313125E-68	2.033319	758	0.01671039	97	0.00373981078866	1.119785	133	142	0.008813784
focal adhesion	66	3.951247E-68	7.57322341666667E-67	2.083149	702	0.01547585	69	0.000125908603333	1.149928	126	131	0.008349901
cell-substrate adherens junction	70	2.732139E-64	4.93736547857143E-63	2.032073	703	0.01549789	95	0.002927745294737	1.124712	127	135	0.00841617
melanosome	93	6.456123E-46	8.78171569354839E-45	2.090076	464	0.01022905	84	0.000886679010119	1.157404	91	94	0.006030484
