Term Name 	 Binom Rank 	 Binom Raw P-Value 	  Binom FDR Q-Val  	 Binom Fold Enrichment 	 Binom Observed Region Hits 	 Binom Region Set Coverage 	 Hyper Rank 	  Hyper FDR Q-Val  	 Hyper Fold Enrichment 	 Hyper Observed Gene Hits 	 Hyper Total Genes 	 Hyper Gene Set Coverage
establishment of protein localization to membrane	375	2.083695E-44	5.80100688E-43	2.081462	451	0.01571483	244	1.56119460491803E-06	1.174481	174	184	0.01197852
macromolecular complex disassembly	412	1.595953E-39	4.04411391262136E-38	2.322854	313	0.0109063	546	0.005407814835165	1.13926	122	133	0.008398733
endosomal transport	415	3.474272E-39	8.74009630843374E-38	2.018705	427	0.01487857	219	3.25241944109589E-07	1.199736	142	147	0.009775575
viral life cycle	426	7.005671E-38	1.71688275211268E-36	2.189379	340	0.0118471	591	0.009135934477157	1.126062	136	150	0.009362522
protein complex disassembly	430	3.44866E-37	8.37302567441861E-36	2.325506	293	0.01020941	608	0.010848674486842	1.134407	116	127	0.007985681
protein targeting to membrane	439	1.58652E-36	3.77295416856492E-35	2.093357	363	0.01264852	269	4.04874843122677E-06	1.184405	144	151	0.009913259
nuclear-transcribed mRNA catabolic process	446	3.731275E-36	8.73419529147982E-35	2.051807	377	0.01313635	280	6.93230914285714E-06	1.170602	164	174	0.0112901
viral gene expression	453	2.02431E-35	4.66529721854305E-34	2.658178	216	0.007526395	539	0.005086666285714	1.163539	89	95	0.006126945
translational initiation	507	1.398268E-31	2.87927375147929E-30	2.080931	316	0.01101084	451	0.000924133753437	1.149043	136	147	0.009362522
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	533	1.512264E-29	2.96210809756098E-28	2.223113	253	0.008815638	477	0.001700025962264	1.158485	111	119	0.00764147
translational elongation	536	2.294347E-29	4.46884005223881E-28	2.289276	236	0.008223283	607	0.009866627288303	1.143061	104	113	0.007159576
cellular protein complex disassembly	538	3.100268E-29	6.01613344237918E-28	2.279581	237	0.008258127	669	0.017818848430493	1.138482	99	108	0.006815366
protein localization to endoplasmic reticulum	541	5.051766E-29	9.74869446210721E-28	2.115012	278	0.009686749	341	5.82674769501466E-05	1.182365	119	125	0.008192207
protein targeting to ER	542	1.039144E-28	2.00159840590406E-27	2.192667	253	0.008815638	421	0.000496492922565	1.174846	105	111	0.007228418
establishment of protein localization to endoplasmic reticulum	558	4.194763E-28	7.84826625806452E-27	2.166905	254	0.008850483	411	0.00043110570219	1.175445	106	112	0.00729726
SRP-dependent cotranslational protein targeting to membrane	571	2.57587E-27	4.70964672504378E-26	2.200648	238	0.008292972	443	0.000772424020767	1.172981	102	108	0.007021892
viral transcription	580	1.337261E-26	2.4070698E-25	2.509197	177	0.006167462	674	0.018773768724036	1.154311	79	85	0.005438524
maintenance of location in cell	582	1.426026E-26	2.55802602061856E-25	2.049524	273	0.009512527	465	0.001290391409032	1.177293	91	96	0.006264629
translational termination	583	1.507784E-26	2.70004544768439E-25	2.435344	187	0.006515906	729	0.029301127407408	1.144296	82	89	0.00564505
cotranslational protein targeting to membrane	590	6.645314E-26	1.17588268067797E-24	2.142335	239	0.008327816	484	0.001938193765289	1.162945	103	110	0.007090734
ribosome	72	6.866789E-46	1.20645667847222E-44	2.119495	447	0.01557546	60	3.90206116666667E-06	1.152869	207	223	0.01425031
cytosolic part	80	1.820003E-39	2.87787974375E-38	2.056153	411	0.01432106	113	0.005837229433628	1.110255	177	198	0.01218505
ribosomal subunit	93	5.20688E-33	7.08247655913978E-32	2.250485	277	0.009651904	80	0.000268793525	1.16039	128	137	0.008811786
large ribosomal subunit	105	2.283912E-27	2.75157017142857E-26	2.634215	167	0.005819018	95	0.001293318423158	1.192301	72	75	0.004956629
cytosolic ribosome	115	4.206613E-24	4.6272743E-23	2.267432	195	0.006794662	142	0.019223617042254	1.138482	88	96	0.006058103
methyltransferase complex	122	8.644021E-22	8.96285784016394E-21	2.183156	190	0.00662044	74	0.000173900575676	1.223162	65	66	0.004474735
histone methyltransferase complex	126	1.164512E-20	1.16913307936508E-19	2.153393	185	0.006446218	78	0.000247626344872	1.222574	63	64	0.004337051
cytosolic large ribosomal subunit	127	1.52808E-20	1.52206393700787E-19	2.705226	117	0.004076797	158	0.03475804471519	1.171679	50	53	0.003442104
catalytic step 2 spliceosome	133	8.848772E-19	8.41631321804511E-18	2.129555	171	0.005958396	65	1.38641606230769E-05	1.226259	78	79	0.005369682
histone deacetylase complex	148	5.434156E-17	4.64473468918919E-16	2.029576	172	0.00599324	130	0.013426223461539	1.193275	49	51	0.003373262
mitochondrial nucleoid	164	2.679583E-15	2.06687347256098E-14	2.427298	103	0.003588975	100	0.002152568275	1.24198	40	40	0.002753683
nucleoid	165	2.799986E-15	2.14665593333333E-14	2.40197	105	0.003658664	99	0.001749740333333	1.24198	41	41	0.002822525
nucleolar part	185	7.929644E-13	5.42216197837838E-12	2.511963	79	0.002752709	163	0.037123613527607	1.206495	34	35	0.002340631
mitochondrial ribosome	189	2.710475E-12	1.8141539021164E-11	2.186163	100	0.003484442	98	0.001479098668367	1.21898	53	54	0.00364863
Cajal body	199	1.494273E-11	9.49877057788945E-11	2.278698	85	0.002961776	135	0.017069469592593	1.21093	39	40	0.002684841
cis-Golgi network	219	2.835144E-10	1.63765167123288E-09	2.052997	94	0.003275375	137	0.017126936569343	1.24198	29	29	0.00199642
cytoplasmic stress granule	230	9.423909E-10	5.18314995E-09	2.028716	91	0.003170842	131	0.014416017251908	1.24198	30	30	0.002065262
