Chipenrich_Colorectal_Cancer	Chipenrich_Alzheimer's_Disease	Chipenrich_Gastric_Cancer	Chipenrich_Prostate_Cancer	Chipenrich_Median_Sensitivity	Broadenrich_Colorectal_Cancer	Broadenrich_Alzheimer's_Disease	Broadenrich_Gastric_Cancer	Broadenrich_Prostate_Cancer	Broadenrich_Median_Sensitivity	Seq2pathway_Colorectal_Cancer	Seq2pathway_Alzheimer's_Disease	Seq2pathway_Gastric_Cancer	Seq2pathway_Prostate_Cancer	Seq2pathway_Median_Sensitivity	Sample	Enrichr_Colorectal_Cancer	Enrichr_Alzheimers_Disease	Enrichr_Gastric_Cancer	Enrichr_Prostate_Cancer	Enrichr_Median_Sensitivity
25	14.28571	62.5	50	37.5	0	0	0	10	0	0	0	0	0	0	GSM1847178	0	0	0	0	0
18.75	14.28571	12.5	20	16.517855	6.25	0	12.5	0	3.125	0	0	NaN	0	0	GSE84618	0	0	0	0	0
62.5	71.42857	87.5	70	70.714285	37.5	0	37.5	40	37.5	0	0	0	0	0	GSM2283764					
0	0	0	0	0	0	0	0	0	0						GSM2283765	NaN	NaN	NaN	NaN	
62.5	71.42857	87.5	70	70.714285	37.5	0	37.5	40	37.5	0	0	0	0	0	GSM2283766					
12.5	0	0	0	0	0	0	0	0	0						GSM2283767	0	0	0	0	0
6.25	14.28571	0	0	3.125	12.5	0	0	10	5	0	0	0	0	0	GSM2283768	0	0	0	0	0
6.25	14.28571	0	0	3.125	12.5	0	0	10	5	0	0	0	0	0	GSM2283769	0	0	0	0	0
6.25	14.28571	0	0	3.125	12.5	0	0	10	5	0	0	0	0	0	GSM2283770	0	0	0	0	0
6.25	14.28571	0	0	3.125	12.5	0	0	10	5	0	0	0	0	0	GSM2283771	0	0	0	0	0
6.25	14.28571	12.5	10	11.25	0	0	0	0	0						GSM2283772	0	0	0	0	0
75	71.42857	75	60	73.214285	56.25	42.85714	62.5	40	49.55357	0	0	0	0	0	GSM2283773	16.66667	57.14286	25	25	25
75	71.42857	75	60	73.214285	56.25	42.85714	62.5	40	49.55357	0	0	0	0	0	GSM2283774	16.66667	57.14286	25	25	25
75	71.42857	75	60	73.214285	56.25	42.85714	62.5	40	49.55357	0	0	0	0	0	GSM2283775	16.66667	57.14286	25	25	25
6.25	0	12.5	0	3.125	6.25	0	0	0	0	0	NaN	NaN	NaN	0	GSM2101436	12.5	0	0	0	0
62.5	57.14286	75	70	66.25	43.75	14.28571	50	50	46.875	0	0	0	0	0	GSM2101437	0	0	0	0	0
50	14.28571	50	40	45	0	0	0	0	0	0	0	NaN	0	0	GSM2752893					
18.75	0	25	20	19.375	0	0	0	0	0	0	NaN	NaN	NaN	0	GSM2101438	0	0	0	0	0
18.75	14.28571	37.5	10	16.517855	6.25	14.28571	25	40	19.642855	0	0	NaN	0	0	GSM2101439	0	0	0	0	0
25	14.28571	50	30	27.5	25	0	25	30	25	0	0	0	0	0	GSM2752894					
6.25	14.28571	0	10	8.125	0	28.57143	62.5	10	19.285715	0	0	NaN	NaN	0	GSM2752897	7.692308	14.28571	0	12.5	10.096154
56.25	57.14286	75	60	58.57143	43.75	14.28571	62.5	60	51.875	0	0	0	0	0	GSM2752898		14.28571	0	0	0
6.25	42.85714	12.5	40	26.25	12.5	0	0	10	5	0	0	NaN	0	0	GSM2752899					
12.5	28.57143	37.5	40	33.035715	12.5	0	12.5	0	6.25	0	0	NaN	0	0	GSM2752900					
75	71.42857	100	70	73.214285	62.5	57.14286	62.5	80	62.5	0	0	0	0	0	GSM2752901					
62.5	57.14286	87.5	70	66.25	62.5	42.85714	62.5	90	62.5	0	0	0	0	0	GSM2752895	6.666667	0	12.5	11.11111	8.8888885
6.25	0	12.5	20	9.375	0	0	0	0	0	0	NaN	NaN	NaN	0	GSM2298950	0	0	0	0	0
25	28.57143	25	30	26.785715	43.75	14.28571	37.5	50	40.625	0	0	0	0	0	GSM2058015	0	0	0	0	0
56.25	42.85714	50	50	50	18.75	0	25	30	21.875	0	0	0	0	0	GSM2058016	0	0	0	0	0
31.25	57.14286	25	30	30.625	43.75	28.57143	50	40	41.875	0	0	0	0	0	GSM2058017	5.882353	0	12.5	11.11111	8.4967315
31.25	57.14286	25	30	30.625	37.5	0	37.5	40	37.5	0	0	0	0	0	GSM2058018	6.666667	0	12.5	11.11111	8.8888885
