Chipenrich_Colorectal_Cancer	Chipenrich_Alzheimer's_Disease	Chipenrich_Gastric_Cancer	Chipenrich_Prostate_Cancer	Chipenrich_Surrogate_Median_Sensitivity	Broadenrich_Colorectal_Cancer	Broadenrich_Alzheimer's_Disease	Broadenrich_Gastric_Cancer	Broadenrich_Prostate_Cancer	Broadenrich_Surrogate_Median_Sensitivity	Seq2pathway_Colorectal_Cancer	Seq2pathway_Alzheimer's_Disease	Seq2pathway_Gastric_Cancer	Seq2pathway_Prostate_Cancer	Seq2pathway_Surrogate_Median_Sensitivity	Enrichr_Colorectal_Cancer	Enrichr_Alzheimer's_Disease	Enrichr_Gastric_Cancer	Enrichr_Prostate_Cancer	Enrichr_Surrogate_Median_Sensitivity
0.000197003	0.00995402	0.000197003	0.000197003	0.000197003	0.09843513	0.3376129	0.09843513	0.09843513	0.09843513	1	1	1	1	1	0.2615524	0.331676	0.4266608	0.2903292	0.3110026
0.008397285	0.02754667	0.008397285	0.0105471	0.009472193	0.004692294	0.1614078	0.004692294	0.07202127	0.038356782	0.5008436	0.2132783		1	0.5008436	0.0879605	0.2903292	0.1739123	0.3985373	0.23212075
2.30E-06	1.36E-05	2.30E-06	2.30E-06	2.29882E-06	0.001337975	0.1552004	0.00783395	0.00783395	0.00783395	0.3803046	1	1	1	1					
1	1	1	1	1	0.9985714	0.9989605	0.9987262	0.9998852	0.99884335										
2.30E-06	1.36E-05	2.30E-06	2.30E-06	2.29882E-06	0.001337975	0.1552347	0.00783395	0.00783395	0.00783395	0.3803046	1	1	1	1					
0.05722682	0.1855117	0.05722682	0.05722682	0.05722682	0.9978209	0.9982144	0.9978209	0.9920248	0.9978209						0.08873935	0.2670024	0.5697996	0.2670024	0.2670024
0.05421345	0.8129317	0.2775141	0.08541622	0.18146516	0.04768891	0.09005986	0.2004705	0.09005986	0.09005986	1	0.3644479	1	1	1	0.401334	0.5368368	0.5405127	0.253618	0.4690854
0.05421345	0.8129317	0.2775141	0.08541622	0.18146516	0.04771212	0.09006661	0.2004874	0.09006661	0.09006661	1	0.3644479	1	1	1	0.6416934	0.8506067	0.8659732	0.5596782	0.74615005
0.05421345	0.8129317	0.2775141	0.08541622	0.18146516	0.04771212	0.09006661	0.2004874	0.09006661	0.09006661	1	0.3644479	1	1	1	0.6416934	0.8506067	0.8659732	0.5596782	0.74615005
0.05421345	0.8129317	0.2775141	0.08541622	0.18146516	0.04771212	0.09006661	0.2004874	0.09006661	0.09006661	1	0.3644479	1	1	1	0.6416934	0.8506067	0.8659732	0.5596782	0.74615005
