"","GSM1647628","GSM1647629","GSM1647630","GSM1647631","GSM1647632","GSM1647633","GSM1647634","GSM1647635","GSM1647636","GSM1647637","GSM1647638","GSM1647639","GSM1647640","GSM1647641","GSM1647642","GSM1647643","GSM1647644","GSM1647645","GSM1647646","GSM1647647","GSM1647648","GSM1647649","GSM1647650","GSM1647651","GSM1647652","GSM1647653","GSM1647654","GSM1647655","GSM1647656","GSM1647657","GSM1647658","GSM1647659","GSM1647660","GSM1647661","GSM1647662","GSM1647663","GSM1647664","GSM1647665","GSM1647666","GSM1647667","GSM1647668","GSM1647669","GSM1647670","GSM1647671","GSM1647672","GSM1647673","GSM1647674","GSM1647675","GSM1647676","GSM1647677","GSM1647678","GSM1647679","GSM1647680","GSM1647681","GSM1647682","GSM1647683","GSM1647684","GSM1647685","GSM1647686","GSM1647687","GSM1647688","GSM1647689","GSM1647690","GSM1647691","GSM1647692","GSM1647693","GSM1647694","GSM1647695","GSM1647696","GSM1647697","GSM1647698","GSM1647699","GSM1647700","GSM1647701","GSM1647702","GSM1647703","GSM1647704","GSM1647705","GSM1647706","GSM1647707","GSM1647708","GSM1647709","GSM1647710","GSM1647711","GSM1647712","GSM1647713","GSM1647714","GSM1647715","GSM1647716","GSM1647717","GSM1647718","GSM1647719","GSM1647720","GSM1647721","GSM1647722","GSM1647723","GSM1647724","GSM1647725","GSM1647726","GSM1647727","GSM1647728","GSM1647729","GSM1647730","GSM1647731","GSM1647732","genes"
"normal",0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,"normal"
"TSHZ2",11.22693796,10.78160814,11.53535859,11.10434043,10.64161965,12.16314956,10.18507275,10.88386078,11.25370533,10.93929616,11.16871518,11.19677521,11.6073286,11.45380326,11.52879982,10.98334689,10.94831085,11.31116983,10.91170419,10.82073361,12.10516481,11.11960469,11.3834216,11.31914126,10.67188627,11.84247719,11.11092699,10.97465757,10.78155139,11.53108972,10.60401599,11.38832553,11.465965,10.82521878,11.37144276,11.21806815,11.04393722,11.39333267,10.4554724,10.66550038,10.96327643,10.61763216,10.80552104,11.11002365,10.83253317,11.08846416,11.43223227,10.9141365,12.43689696,11.28802259,10.9093152,10.86128175,11.28714476,10.36015943,11.16663496,11.84471061,10.98237388,10.51412236,10.67008717,11.4308208,11.76588629,12.19535283,11.56206728,10.21396691,10.78398841,11.26348701,10.87675629,10.96417293,12.08549872,10.42557509,10.95721468,10.81923416,10.96155124,10.88652716,11.04319812,10.95054016,11.50111337,10.86495723,11.10800715,10.60395587,12.6169126,11.42749002,11.31203932,11.29489887,11.34197087,11.18806532,11.59256357,11.05488339,10.21953667,10.7748908,12.5679805,11.06963628,11.00486315,10.94454557,10.74051512,10.92355818,11.11252547,11.73081365,11.22655891,11.06051188,11.22197286,10.53708923,12.37220046,11.01837765,11.11784922,"TSHZ2"
"ESRRA",10.69796408,10.28037898,10.29920845,10.43831532,10.46830276,10.67635381,10.31380689,10.48306836,10.64397284,10.55480748,10.65694515,10.83454199,10.40946395,10.56482213,10.51533944,10.42459164,10.46336463,10.5739998,10.56373932,10.36212186,10.49648813,10.54108278,10.43070636,10.31166062,10.46631553,10.54313571,10.67809185,10.5111164,10.2519543,10.30328703,10.39964961,10.4462548,10.24295668,10.81115228,10.40437159,10.55227675,10.52571654,10.37314784,10.32075531,10.60700051,10.473365,10.5381051,10.41658829,10.57137801,10.66737771,10.69692752,10.71729209,10.286318,10.44042159,10.3568736,10.19299928,10.28617617,10.36963178,10.0726246,10.48218483,10.2965377,10.46206578,10.39978514,10.40662878,10.6560699,10.43949511,10.53660357,10.49294972,10.16536821,10.66399875,10.51470135,10.46435667,10.44660803,10.76587285,10.30978169,10.51464608,10.36256153,10.38182134,10.64664641,10.46196375,10.29755924,10.51533372,10.12421804,10.68430964,10.48961519,10.41430535,10.27929541,10.39161682,10.67440234,10.33243538,10.38167225,10.40281745,10.42162079,10.63921222,10.35224923,10.59379866,10.65002299,10.36490796,10.61014812,10.44280718,10.5083536,10.60484427,10.52065197,10.53457195,10.31394423,10.54358908,10.4262063,10.53049441,10.41139255,10.27470939,"ESRRA"
"ARAF",10.18392755,10.17016162,10.320847,10.05695396,10.17218372,9.734445058,9.982220822,9.961945314,9.977478268,9.928121725,10.06946752,9.834589685,9.86513453,10.28503202,9.778285281,9.903031253,9.992132997,10.38076205,10.2362193,10.10096072,10.51005134,10.21731318,10.56264401,10.47777964,10.7430496,10.55999115,10.10994681,10.26835244,10.21175839,10.15846626,9.999076519,10.25400214,10.07146624,10.14839917,10.02302834,10.11923633,9.951121733,9.752080298,10.35212714,10.45861118,9.785163716,10.08160194,10.14224305,10.10142401,10.48474383,10.24618964,10.26597743,10.31125609,10.28201136,9.813672505,9.933146038,10.45996143,10.11553721,10.09552384,10.24534829,10.03332671,10.16406574,10.16385754,9.867184656,9.855189413,10.32848991,9.963223139,10.26711781,9.935452112,9.975666892,10.01684452,9.932173431,10.03208362,10.23251359,10.17860645,10.49531608,10.39653248,10.0911321,10.51019166,10.11366459,10.17220339,10.51768822,9.964861453,9.903055545,10.34740641,10.35452592,9.947017009,10.15272829,10.0665027,9.993040488,9.960656458,10.00809791,9.876712786,10.3569119,10.37094716,10.03001827,9.852702683,10.10263931,9.934716082,10.55579214,10.1002649,10.2152647,10.34204745,10.05409496,10.13486453,9.827920654,10.10979471,10.05200969,10.47142296,10.20417574,"ARAF"
"BEND5",10.31758482,10.35387298,9.722710465,9.745969873,10.4603429,10.06976407,9.891343079,9.800875289,9.698176565,10.30749467,10.24658042,9.803217917,9.782997534,10.10734666,9.769275026,9.41017342,9.804383745,10.16700911,10.25991807,10.24114941,9.978486929,10.52891988,9.920804319,10.22947802,10.39946558,10.22897219,10.06596981,9.863569176,10.09935781,9.609589435,9.790933626,9.849913443,10.02965589,9.835776062,10.47495728,9.691698021,9.782995572,10.22612154,10.04899054,9.993211041,9.530154968,9.680751021,9.920040611,10.08274542,10.40598642,10.40830103,10.28370717,9.921673718,9.498598247,9.500828665,9.792111636,10.03907938,9.921054635,10.18006501,10.17557808,9.619157834,9.694428896,9.928480926,9.922982214,9.646924713,9.557535968,9.791148396,10.05182061,9.388113006,9.368398669,9.826637418,9.706522279,10.39238314,9.729152463,9.839869408,9.482666164,9.710417685,10.13707504,10.45196013,9.68911838,9.935377924,10.14056809,9.388062981,9.50398397,9.974014931,9.953463637,9.614713466,9.541098503,9.71336984,10.07194721,10.12663243,10.19314178,9.989772205,10.22997236,9.552771584,9.688275625,9.805025837,9.165948199,10.53810033,9.916242685,10.15765599,10.22158861,10.1350952,9.756885786,10.06120461,9.611499504,9.71254496,9.553668643,9.741430298,10.5942828,"BEND5"
"RBM12B",9.904071974,9.717819516,9.725938498,9.48593271,9.742662457,9.6597717,9.545233384,9.509644244,9.878006747,9.867962413,9.587454317,9.836809198,9.451187429,9.952148746,9.438658219,9.717452152,9.49879207,9.870418954,9.540003038,9.948191889,10.09032478,9.830650341,10.16869135,9.950865023,10.35225873,10.39023269,10.08925768,10.30309678,9.512987192,9.897163216,9.932354958,10.01132706,10.05096352,10.33259808,9.911876799,9.777878468,9.847301392,9.940740419,9.911900814,10.06270769,9.61340645,9.877298156,9.649634896,9.603510866,9.561447633,9.835424203,9.565141155,9.994072303,10.02670304,9.669699418,9.60278993,9.915448649,9.821059941,9.51165208,10.00804614,9.514562804,9.796485296,9.414051848,9.806137473,9.712675045,9.801582755,9.913359097,10.00029125,9.357889607,9.687960725,9.836136186,9.660399242,9.754834232,10.08463256,9.890542933,10.49752526,9.993248521,9.484343989,9.342911065,9.843525888,9.875300669,9.505008886,10.16721953,10.31113665,10.23219848,9.526542814,9.916137211,9.829809211,10.00527739,9.770360335,9.622834843,9.605821327,9.587157003,9.976712382,10.40778817,9.596940207,9.990212025,10.08449035,9.719798023,9.971328604,9.729813604,9.997689616,9.9434252,9.630856891,9.64033827,9.482271335,9.54525186,9.762470031,9.892899302,9.577546927,"RBM12B"
"ELMO2",9.53843707,9.956014459,10.00278104,10.08098561,10.13621761,9.775530291,10.01515467,10.43556653,10.04493545,9.786638557,9.771367943,9.935394198,9.593245689,9.953687444,10.3171132,10.17716202,10.14899293,9.729966961,9.313871061,9.459854771,9.918572603,9.548879573,9.759995368,9.13631632,9.236439423,9.343307096,9.470083223,9.128240391,10.13965891,9.846023864,9.908828729,10.10827426,10.24833139,9.833408327,9.721961271,10.07551991,9.982655808,9.808798734,9.842535687,9.320662056,9.725592771,9.58456341,9.970727929,9.188064205,8.989728172,9.789283043,9.08958828,10.05593391,10.05659262,9.647343378,9.998094011,9.427775245,9.882918618,9.92550493,9.37289956,9.426029037,10.27587589,9.690374384,10.02445397,9.757327511,9.667232246,9.746282666,9.931462772,10.08133852,9.959746772,9.804901623,10.0842314,9.736488908,9.882493584,9.469481698,9.716642958,9.823186608,10.09919042,9.732494571,10.03798778,9.939858747,9.533150042,9.783856262,10.05933637,9.542309362,9.913384836,10.09412403,9.913333261,9.95572983,9.683605118,9.675484239,9.432469128,9.485276077,9.919644371,9.226908814,10.00433746,9.865370946,9.883942169,9.13897483,9.973697927,9.896205228,9.490141182,9.717974056,9.696642043,9.542084219,9.980652647,9.881243204,9.979921611,9.475333582,9.566956381,"ELMO2"
"TXNRD1",9.335272226,9.34787403,9.242113497,9.026783093,9.118705632,9.268255491,8.615018402,9.06064417,8.868805772,8.944810318,9.218591384,9.010863994,9.012694828,8.935578105,9.003886673,9.149999741,8.741766351,9.172072986,9.562163717,9.753274297,9.59378473,9.467457102,9.8648748,9.213942502,10.35466718,9.919368678,9.339416731,9.145324792,8.856055432,9.495404254,9.403912727,9.597324249,8.956755267,9.523857688,9.094468958,9.069462862,9.266376982,9.663102527,9.332291017,9.347745256,8.332140649,8.778069681,8.872932716,8.650968393,9.087020998,9.028798194,9.019081486,9.714817961,9.337486527,9.049089431,8.930056502,9.432887073,9.426587505,8.885573211,9.399119482,8.966533256,9.434405972,8.092867182,8.943277913,8.663291219,9.086175842,8.791188426,9.046891648,8.600154739,8.793527479,9.067981985,8.65696748,9.574086271,8.902886022,9.377221458,10.06929921,9.56979298,9.077941982,9.045632288,9.321498571,9.672724038,9.147181549,9.107881933,9.527500728,9.656384937,8.541026752,9.440371887,8.63372643,8.650888577,9.191736564,9.419675077,9.160791513,8.586670679,9.45648503,9.848324825,9.278267222,8.82774543,9.460156466,9.168077911,9.959114935,9.550942139,9.116068984,9.627707041,9.199475299,9.125809723,8.568153968,9.351427455,9.170839657,9.784685719,9.067546869,"TXNRD1"
"SERINC3",9.17963894,8.680780572,8.744145282,9.235943216,8.805949982,9.696805142,8.910281582,9.824330057,9.934241567,9.010983462,9.360407659,9.360322615,9.84084335,8.523534374,9.045203507,8.984176914,9.472360585,8.98017234,9.045707409,9.457331407,8.936341719,8.650935512,9.413514985,9.160317672,8.841913867,9.063778129,9.595983062,8.637783168,8.552227481,9.635264149,9.635711765,8.778324319,9.689714134,8.933808283,8.997996671,9.139745859,8.098460453,8.925921044,8.883392514,8.895239685,8.857215379,9.005839276,9.045916703,8.730798906,8.7827172,9.136718989,9.913407083,9.147951884,8.90480679,9.650265934,8.802838265,9.028717557,8.773832332,8.847249841,8.348390249,9.160363054,8.960148433,8.901311561,9.050944835,9.180584156,8.5313743,9.877277539,8.661258556,9.43705864,9.210299113,9.056445307,8.49136995,8.842689939,9.145569345,9.700054146,8.738443806,9.022235923,9.277892665,8.519911632,8.831877176,8.830336705,9.130025447,9.816696154,8.371196211,9.427088299,9.213143566,9.935782085,9.451093551,8.880337519,9.077211162,8.974220698,8.928701459,9.149574608,8.667947501,8.836285256,9.191231552,8.977982469,8.892180346,8.288947142,8.779862504,8.861743622,9.403678374,9.407415334,9.307697328,9.145041225,9.352915532,9.288329408,9.299762067,8.388824927,8.685601254,"SERINC3"
"MICALL1",8.955345293,9.233267132,9.461254189,9.153056667,9.424551147,8.860602202,8.931388509,8.774903509,9.079933281,9.173255943,9.245761938,9.228504886,8.586674764,9.368850626,8.846399317,8.962760225,9.066270981,9.472656665,9.119152859,8.989457175,9.134906544,9.21147387,9.179105628,9.235314989,8.96397058,8.903526834,8.973683684,9.253892966,9.116223966,9.02871122,8.898663272,8.942464806,9.008848564,8.730902665,9.21277544,8.934098111,9.245609488,8.959574436,9.439602125,9.233546723,8.820885677,8.998185434,9.146751585,9.116847786,9.132780191,9.052035416,8.895388845,9.298494156,9.251546264,8.664710043,8.946989298,9.264868081,9.259945944,9.102223352,9.040964428,9.222307748,8.99435292,8.852781829,9.088577961,9.189974249,9.431871122,8.773006168,9.208405776,9.04044024,8.961661539,9.199819468,8.783193746,9.130943195,9.1246584,8.812950091,8.747074247,9.509426491,9.249581644,9.454888159,8.537097177,9.056932484,9.211197489,9.06637884,8.909638714,9.186358353,9.070301091,8.861014165,8.904897295,9.039815612,9.04080973,9.193891017,8.699599892,9.145258254,9.049737489,8.965278333,8.565240883,8.881183422,8.831441436,9.162445259,8.896933071,9.092351656,9.263205846,9.047000971,8.769985238,9.006742367,9.271725282,9.124617994,9.011110215,9.060441907,9.459061795,"MICALL1"
