ID_REF,GSM18403,GSM18404,GSM18405,GSM18406,GSM18407,GSM18408,GSM18409,GSM18410,GSM18411,GSM18412
A28102_at,41.5,98.1,66.3,90,54.5,106.8,150.2,36.2,81.7,130.4
AB000114_at,45,17,63.3,2.6,24.5,8,57.6,111.5,10.9,40.1
AB000115_at,465.7,91.4,115.5,82.4,179.3,277.1,337.7,187.4,153.7,380.7
AB000220_at,295.8,263.5,433.3,414.7,260.9,252.7,653.9,806.2,207.4,505.2
AB000381_s_at,12.1,24.2,5.6,5.2,4.9,7.8,12,9.6,11.8,13.6
AB000409_at,411.3,497,457.6,448.9,595.9,575.5,776.6,466.1,491.1,640.1
AB000410_s_at,35.4,60.1,37.5,34.4,36.2,31.9,30.9,32.5,21.8,27.3
AB000449_at,41.8,60.2,34,50.3,37.4,66.6,68.4,59.5,30.3,69.5
AB000450_at,151.6,114.5,93.9,132,112.8,147.1,130.8,202.1,128.5,140.1
AB000460_at,793.7,408.2,528.4,788,834.3,895.3,1461.1,1167.6,796.8,989.6
AB000462_at,73.3,15.3,93,93.8,130.7,107,403.5,201.6,102.6,128.8
AB000464_at,123.8,92.9,63,130.1,88.8,154.1,175.2,228.9,110.9,176
AB000466_at,25.1,17.9,18.9,23.7,17.9,20.2,32.9,24.7,23,22.7
AB000467_at,85.7,123.7,47,152.3,35.4,57.7,204.6,250.7,143.8,47.3
AB000468_at,682.8,826.1,459.4,463,671,1323.6,964.5,939.8,674.2,306.5
AB000584_at,443.1,351.7,471.8,953.9,422.6,633,672.8,359.4,757.7,526.1
AB000816_s_at,59.4,112.4,69.6,60.2,71.6,161.1,88.1,147.5,8.7,10.6
AB000895_at,23.3,26.4,31.9,40.3,23.5,42.1,47.6,25.6,37.9,57.8
AB000896_at,96.2,54,31.3,48.3,9,80.4,41.5,29.8,68.1,94
AB000897_at,13.6,10,10.4,17.9,30.5,53.5,35,41.4,88.3,26
AB000905_at,0,0,0,0,0,0,0,0,0,0
AB001106_at,392.2,362.4,444.4,273.9,286.9,301.8,514,571.9,345.9,344.2
AB001325_at,796.7,817.6,490.5,735.4,748.8,547.5,974.5,1189.5,1205.9,721.7
AB002314_at,8.5,9.2,5.3,4.5,7.2,7.8,51.6,7.9,36.7,46.3
AB002315_at,257,324.8,264.8,289,286.8,287.1,457,492.2,219.3,204.6
AB002318_at,387.4,336.4,875.6,521,443.3,638.8,562,756.8,661.1,477
AB002332_at,413,581.6,816.3,316.8,495.6,407.7,403.5,629.2,613.3,376.4
AB002356_s_at,439.9,476.8,503.1,518.4,758.5,745.3,658.7,536.3,657.7,682.9
AB002365_at,231.6,163.9,237.9,347.9,175.2,345.4,235.3,541.2,168.2,138.4
AB002366_at,73.7,48.3,77.5,17.5,83.2,37.2,34.6,75.9,63.9,93
AB002380_at,611.2,466.7,631.1,489.2,844,476.9,397.9,527.8,325.3,764.6
AB002382_at,1748.7,1217.4,1397.3,1371.1,2184.5,2012.4,1302,1740,2053.1,1161.1
AB002409_at,351.2,432.6,673.9,333.7,277.6,453.3,538.5,633.4,344.9,506.6
AB002533_at,10712.7,13648.1,10929,9017.9,9960.9,7680.5,11491.4,9805.1,9130.1,11135.2
AB002559_at,423.9,664.7,297.2,319.4,511.6,378.4,415.8,362.1,438.1,487.5
AB003102_at,1107.6,1286.2,884.7,1370.4,1120.2,425.7,934.7,1031.4,370.9,727.8
AB003103_at,441.4,388.8,220.4,407.7,394.4,249.8,424.3,433.3,299.6,342.5
AB003177_at,899,1064.8,878.3,963.1,867.9,918.7,833,777.3,855.6,620.8
AB003698_at,95.4,70.5,90.9,56.3,83,164,113.2,78.6,102.6,102.7
AB004884_at,591,515.8,460.4,455.2,600.6,707.5,610.1,554.1,522.3,393.1
AB005535_s_at,6.5,20.8,3.9,4.5,25.5,5,11.1,37.5,22.6,46.7
AB006190_at,244.4,285.2,357.2,258.1,269.7,401.9,469.4,274,369.7,283.7
AB006781_s_at,94.6,50.6,160.1,78.5,155.1,149.6,158.5,140.1,189.7,116.7
AB006782_at,1519.6,1362.3,1983.1,850.4,1736.8,1401.2,2465.5,1798.1,1443.9,1303.7
AC000061_cds2_at,0,0,0,0,0,0,0,0,0,0
AC000061_cds3_at,0,0,0,0,0,0,0,0,0,0
AC000062_at,0,0,0,0,0,0,0,0,0,0
AC000063_s_at,0,0,0,0,0,0,0,0,0,0
AC000064_cds1_at,632.2,353.3,561.9,464.3,576.6,889.5,477,778.9,702.4,214.6
AC000064_cds2_at,89.7,62,96.4,121.9,51.1,139.7,120.8,112.9,161.3,96.6
AC000066_at,27.2,21.5,4.8,3.5,2.5,2.4,6.9,28.6,6.3,10.3
AC000099_at,0,0,0,0,0,0,0,0,0,0
AC000115_cds1_at,34.6,17.1,12.9,14.3,7.2,41.2,27.2,45.4,13.3,10.6
AC002045_xpt1_at,132.3,92.9,206.3,201.2,191.2,218.6,165.5,342.7,195.9,138.1
AC002045_xpt2_s_at,2304.3,1828.2,2679.4,3657.2,4195.5,4643.9,3212.6,3725.4,4015.1,3398.5
AC002073_cds1_at,325,163.9,229.5,113.7,313,512,405.2,376.1,445.2,422.8
AC002076_cds2_at,0,0,0,0,0,0,0,0,0,0
AC002077_at,0,0,0,0,0,0,0,0,0,0
AC002086_at,16.1,21,1.1,32,23.8,72.6,19.6,67.4,32.5,19.9
AC002115_cds1_at,2496.9,4082.5,2333.7,2853.5,2462.6,1571.3,1965.7,1198.1,1810.1,1561.6
AC002115_cds3_at,0,0,0,0,0,0,0,0,0,0
AC002115_cds4_at,42,51.1,42.3,75.4,114.4,29.3,67.3,48.1,60.3,110.6
AC002115_rna2_at,858,831.7,520.6,708.3,717.8,353.3,798.3,694.2,564.2,689.3
AC002450_at,32.5,94.8,13.6,80.4,69,72.3,90,193.2,47.2,63.9
AC002464_at,8.1,20.8,7.6,12.9,12.8,10.4,25.9,28.3,21.7,26.2
AC002477_s_at,267.9,292.2,176.4,231.8,200,267.9,229.8,231.2,200.4,231
AC002486_at,52.1,23,49,49,36.4,55,82.2,43.4,49.9,39
AD000092_cds1_at,0,0,0,0,0,0,0,0,0,0
AD000092_cds2_at,632.2,438.5,572.6,519.6,483.4,940.9,533.4,562.2,824,416.3
AD000092_cds7_s_at,785.1,793.6,548.1,733.1,713.2,478.4,547.8,550.7,655.1,554.1
AD000684_cds1_at,623.4,271.5,388.6,358.6,664.3,386.3,473.2,317.2,603,350.5
AD001527_cds1_at,12.3,57.1,33.6,65.9,39.4,92.1,43.6,42.5,35.2,61.6
AF000177_at,500.6,325,431,446.5,412.5,420.6,543.9,376.4,340.7,357.7
AF000231_at,292,157.7,390.7,242.6,260.7,452.3,350.7,395,320.5,237.2
AF000234_at,353,302.3,278.5,206.7,360.9,435.2,313.7,220.4,283.8,186.6
AF000424_s_at,844.9,797.1,196,384.8,1103.9,491.9,662.1,82.6,429.2,682.4
AF000430_at,59.5,65,55.8,61.5,42,37.3,23.5,60.2,6.5,70.1
AF000545_at,121,76,133.8,96.4,91.2,185.7,143.8,129.3,150.9,81.9
AF000560_at,202.5,188.9,190.7,237.6,175.5,227,362.2,241.9,271.3,385.9
AF000562_at,95.9,181.2,275.6,330.4,55.6,378.4,392.1,573.8,293.2,180
AF000573_rna1_at,6.8,10.5,8.3,25.4,2.6,10.2,6.3,22,10.7,13.2
AF000959_at,5675.9,10263.4,5212.7,4472.5,3661.2,1877,4632.9,1445.7,3543.2,1502.9
AF001294_at,261.1,220,337.9,401.3,238,138.8,369.3,382.2,386.2,465.2
AF001359_f_at,814.7,783.7,1016.9,777.7,482.9,848,732.5,863.5,734.1,497.3
AF001548_rna1_at,4544,1213.7,3904.3,3304.4,3996.9,2585.1,4234.8,6420.6,3488,3747.4
AF001620_at,102.2,19.7,171.5,44.8,90.7,12.7,8.6,66.3,9.8,636.3
AF001787_s_at,7.9,4.1,6.6,6.5,8.2,5.1,9.3,3.9,6.2,6.3
AF002020_at,559.6,554.4,328.9,477.3,517.1,343.7,334.8,322.9,328.8,503
AF002224_at,57.6,34.7,32.7,35.4,128.3,66.7,52.5,52.2,43.1,89.4
AF002700_at,45.1,20.3,15.2,14.6,94.9,20.3,33.9,17.1,79.1,143.5
AF003743_at,33.4,32.8,24.8,30.3,19.6,28.8,40.2,32.6,24.4,31.3
AF005037_at,63.1,40.7,23.2,61.3,34.8,95.3,74.9,156.7,93.4,49.3
AF005043_at,86.3,56.2,84.3,66.4,54.9,109.8,87.3,73.4,83.6,87.3
AF005361_at,14.1,10,6.2,2,3.9,39.9,6.2,16.7,39.1,34.2
AF005775_at,952.5,598.7,635.9,866.1,395.2,438.2,708.4,601.2,843.6,365.6
AF005887_at,208.6,364.3,305.8,330.4,200.6,323.4,262.9,227.8,220.4,177.6
AF006041_at,933.7,943.4,1100.6,903.1,1140.7,1158.2,1169.5,722.8,1049.3,809.6
AF006084_at,1994.1,2806.7,1707.4,2245.9,2496.8,1986.5,1654.9,1178.4,1523,1559.6
AF006087_at,524.7,593.8,680.9,646.3,620.4,655.8,537.9,508.6,570.3,902.3
AF006609_at,25.8,21.4,55.4,23.4,55.1,126.8,32.9,34,33.8,81.2
