ID_REF,GSM313235,GSM313236,GSM313237,GSM313238,GSM313239,GSM313240,GSM313241,GSM313242,GSM313243,GSM313244,GSM313245,GSM313246,GSM313247,GSM313248,GSM313249,GSM313250,GSM313251,GSM313252,GSM313253,GSM313254,GSM313255,GSM313256,GSM313257,GSM313258,GSM313259,GSM313260,GSM313261,GSM313262
4,7.0945,6.90945,7.35475,7.49725,7.00015,8.2289,7.13145,7.2581,7.1317,7.6491,7.0222,7.45075,7.2113,7.28825,7.04875,7.395,7.8625,7.30115,7.28925,7.5697,7.44905,7.404,8.0069,7.11335,7.5302,7.0944,8.05015,7.2654
5,8.5648,8.30895,8.62385,7.93835,8.74795,7.95435,8.39245,8.9352,8.5937,8.3524,8.15005,8.58715,8.1708,8.8304,8.4866,8.6567,7.88395,8.2449,8.53425,8.18425,8.27245,8.52105,8.2654,8.4051,8.51665,8.48465,7.9938,8.493
12,9.34065,9.3139,9.1794,9.23455,9.52385,8.80935,9.1577,9.3853,9.37335,8.863,9.47985,9.158,9.45565,9.40125,9.60775,9.6353,9.1056,9.24935,9.65755,9.04905,9.4555,9.6479,8.64795,8.98665,9.18035,9.295,8.6998,9.4021
15,6.4666,6.43435,6.9044,7.22925,6.33495,7.81305,6.68405,6.8349,6.49705,7.2479,6.5412,7.09625,7.3627,6.5391,7.02505,7.1181,7.32275,7.2611,6.8613,7.19415,7.0504,7.14735,7.71465,6.88065,7.33295,6.52765,7.5612,6.34195
17,6.9849,7.11045,7.2733,7.8539,6.84895,8.93175,7.08645,7.1449,6.9919,7.63215,7.13525,7.49935,7.2072,7.0755,7.33345,7.36135,7.9451,8.0357,7.22985,7.59555,7.23545,7.2829,8.6858,7.0514,7.6917,7.057,8.31235,6.82515
19,9.3041,9.45565,9.427,9.0587,9.11225,9.10685,9.29035,9.2818,9.07845,8.9872,9.1951,8.9075,9.15595,9.3078,9.6205,9.4433,8.9902,9.1924,9.75935,9.0977,9.01605,9.53615,8.90245,8.9192,8.95745,9.17735,8.56335,9.45305
20,7.7676,7.83865,7.9473,8.0161,7.8353,8.6019,7.8923,7.9673,7.86255,7.9755,7.95575,7.8946,7.9702,7.8456,8.20645,8.09745,8.14805,8.10145,7.9713,8.01495,8.0754,8.09925,8.6592,7.66265,7.99185,7.6323,8.21095,7.93895
24,9.4466,9.4471,9.69725,9.35085,9.2096,8.21115,9.26,9.22405,9.365,8.95025,8.96045,9.6792,9.0667,9.58975,9.63425,9.86325,9.07305,9.37865,9.44795,8.8905,8.81525,9.82915,8.2536,9.4447,9.5388,9.23755,8.37245,10.0134
25,8.45985,8.65605,8.59015,8.73015,8.62295,7.94255,8.57185,8.76645,8.5668,8.016,8.7982,8.5074,8.8773,8.64555,8.81205,8.9291,8.38215,8.2687,9.0123,8.1948,8.4756,8.8202,7.88235,8.40415,8.5275,8.6997,7.5747,8.70775
31,7.9722,7.90075,8.2496,7.5894,7.8359,8.07535,8.17885,7.77175,7.84895,7.60935,7.3539,8.0084,8.3771,7.99085,8.2137,8.0725,8.01415,7.4587,7.7065,7.78885,7.5899,7.5818,7.8731,7.86525,7.53795,8.18175,7.41405,8.74995
32,6.54665,6.60605,6.959,7.34075,6.4358,8.0169,6.59445,6.6563,6.69185,7.40165,6.58045,7.21875,7.11755,6.82175,6.90335,7.54625,7.27585,7.3628,6.6968,7.24615,7.1557,7.2654,7.78615,6.93305,7.347,6.7,7.71635,6.7895
34,8.7294,8.38255,8.982,8.3904,8.39215,8.7475,8.64065,8.47965,8.5022,8.59705,8.04515,9.29495,8.79595,9.1043,8.7394,9.2327,8.45685,8.2496,8.53805,8.66365,8.4249,8.5639,8.30815,8.7576,8.992,8.7074,8.5434,8.68885
39,9.16395,9.23455,9.38935,9.03335,9.00215,9.10785,9.1852,8.99925,8.9783,9.1968,8.70825,9.26245,8.90665,9.35765,8.9652,9.3193,9.43065,9.16005,8.93665,9.10055,8.95375,9.20185,9.5053,9.04765,9.53945,9.48365,9.27095,9.10395
40,8.4712,7.9752,7.97135,8.43545,7.9204,8.9642,8.3079,8.32235,8.44865,8.3591,8.1123,8.55885,8.63715,8.1804,8.35015,8.44835,8.4299,8.0767,8.01775,8.43435,8.88205,8.2289,8.98275,8.6682,8.62295,8.22585,8.8899,7.8329
54,8.5332,8.49455,8.53885,8.9549,8.5327,8.60505,8.3573,8.51105,8.5503,8.42035,8.83605,8.86665,8.642,8.5115,8.8754,8.8519,8.7299,8.66105,8.87295,8.4103,8.6847,8.84015,9.1261,8.1961,8.7135,8.6348,8.8076,8.54145
58,8.42635,8.4399,8.47095,8.4868,8.65075,7.72955,8.5265,8.332,8.6901,8.16685,8.78705,8.19775,8.5523,8.3306,8.7137,8.48005,8.2106,8.1734,8.61745,7.9032,8.27835,8.80685,7.8948,8.25395,8.4435,8.2376,7.6175,8.5452
62,7.7993,7.90765,7.6064,7.89395,7.49715,8.4917,7.69095,7.59525,8.0163,8.2844,7.6461,7.88905,8.0512,7.8445,7.8863,8.09035,8.4673,7.7019,7.91225,7.96405,7.98055,7.7117,8.5092,7.5976,7.88805,7.54115,8.61955,7.31425
68,7.3959,7.3506,7.43995,7.9535,7.28545,8.5561,7.51575,7.55975,7.5595,7.8916,7.33405,7.4464,7.514,7.4237,7.5033,7.48705,7.93805,7.98635,7.42415,8.03235,7.74425,7.74775,8.68015,7.52925,7.8468,7.3933,8.5346,7.48745
72,8.64095,8.4179,7.88185,8.09295,9.221,8.551,9.08415,8.75385,9.0168,8.79335,8.96075,8.8438,9.2769,8.83815,8.9855,8.58975,8.6261,8.69775,8.5499,8.39315,9.20455,8.5458,8.75745,8.6877,8.8029,9.1198,8.8518,8.09745
73,6.5338,6.62975,6.7178,7.67015,6.58755,8.6997,6.93995,6.9872,6.99635,7.63435,6.74395,7.1818,7.3584,6.73945,7.1065,7.2693,7.84665,7.7656,6.9605,7.62755,7.3866,7.353,8.43225,7.122,7.6179,6.63125,8.52475,6.7405
75,7.7545,8.01065,7.84355,7.27435,7.54965,7.39225,7.7893,7.52785,7.50795,7.88245,7.44205,8.0821,7.9818,8.0557,7.9834,8.3094,7.56315,7.32985,8.05295,7.4325,7.3952,7.5009,7.68085,7.3646,7.6831,7.7503,7.47905,7.5407
78,7.95165,7.88345,8.0702,7.98115,7.7396,7.06165,7.81785,7.8645,7.7561,7.50865,7.78035,8.22255,8.07125,7.89005,8.1055,8.38015,7.5959,7.1703,8.0302,7.5541,7.3855,7.88155,7.3284,7.6916,7.5246,7.8056,7.01605,7.97765
81,7.2412,7.29825,7.10025,7.9437,7.48,8.8668,7.64385,7.7636,7.6281,7.9166,7.5055,7.6844,7.8145,7.1411,7.75855,7.5868,7.862,7.63555,7.38705,7.9873,7.87505,7.6143,8.4931,7.31385,7.78685,7.42405,8.24125,7.4575
83,8.35055,8.05795,7.2275,7.1423,8.1953,7.4823,8.5402,8.3059,8.3945,7.7751,8.2388,7.9638,8.21735,8.0603,8.1466,8.2903,7.7572,7.8495,8.12385,7.6272,8.02505,8.1507,7.5593,8.09345,7.59455,7.93645,7.77665,7.1875
