ID_REF,GSM313263,GSM313264,GSM313265,GSM313266,GSM313267,GSM313268,GSM313269,GSM313270,GSM313271,GSM313272,GSM313273,GSM313274,GSM313275,GSM313276,GSM313277,GSM313278,GSM313279,GSM313280,GSM313281,GSM313282,GSM313283,GSM313284,GSM313285,GSM313286,GSM313287,GSM313288,GSM313289,GSM313290,GSM313291,GSM313292,GSM313293,GSM313294,GSM313295,GSM313296,GSM313297
4,7.50275,7.39405,8.04655,7.45945,7.44035,6.9834,7.94725,7.50215,7.56195,7.56035,7.3475,7.6414,7.28155,7.7073,7.69225,7.5159,7.09955,6.92985,8.02185,7.9434,7.3041,8.96615,7.77585,7.5296,7.73115,7.52185,8.25955,7.82125,8.29825,7.63945,7.39145,7.7412,7.2057,7.2588,7.97
5,7.6566,7.7313,8.43455,7.84705,8.21375,7.88965,8.51245,8.82045,8.51825,7.9659,8.7459,7.8765,8.66285,8.0512,9.36625,8.94945,8.3573,8.3299,8.21385,8.4034,7.9271,8.42935,8.24265,8.10845,8.8849,8.37045,8.2605,8.3101,7.9423,8.19855,8.85345,8.0157,8.372,8.65805,9.1613
12,9.32675,9.47755,9.28045,8.769,9.8372,9.97815,9.8647,9.5345,9.1245,9.56525,10.11635,9.6756,9.52905,9.5544,9.81625,10.463,10.836,10.1115,9.4567,8.89075,9.64185,9.2593,9.9829,9.88865,9.84335,9.68635,10.0125,9.61585,10.0816,9.8124,10.248,9.24345,10.145,9.8133,8.93385
15,7.08765,7.0302,7.7417,6.5999,6.7667,6.56615,7.20795,7.1841,7.23705,7.1444,6.83535,6.7753,6.7471,7.0374,7.66975,7.00715,7.1366,7.07245,7.4322,6.89425,6.3927,8.5466,7.5096,6.8608,7.4857,7.05925,7.79155,6.65395,7.97255,7.3912,7.07615,6.8333,6.97545,6.6654,6.35345
17,7.32485,7.64055,8.9241,7.0494,7.0667,6.965,8.02755,7.784,7.7121,7.5713,7.1666,7.18735,6.90165,7.33265,8.3071,7.54985,7.55085,7.156,8.26785,7.1677,6.91485,9.9396,8.1622,7.23495,8.07385,7.0488,8.8097,7.2077,9.34295,8.4657,7.4539,7.38535,6.9236,7.1392,6.70945
19,7.43255,7.86055,8.3841,9.14465,8.82685,8.6205,9.4418,9.04805,8.65625,8.89625,8.3736,9.20815,9.0621,8.81255,8.22445,8.26225,9.6236,9.21845,8.9896,8.6457,8.8848,7.8716,8.6273,8.6558,9.284,8.41955,8.34295,9.6569,8.51485,8.8799,9.2827,9.2329,8.6018,8.63845,8.68545
20,7.60615,8.1549,8.6467,8.4424,8.0151,8.08405,8.70165,8.22685,8.09325,8.5578,7.9677,8.3228,8.01645,8.42995,8.34715,8.98235,8.86355,8.2856,8.51175,8.0523,8.27495,9.28435,8.60485,7.8656,8.28035,8.20695,8.97155,8.3,9.1778,8.43235,8.5221,8.43025,8.218,8.10705,8.33075
24,8.12295,8.2792,8.3672,8.56875,9.145,9.19125,8.7743,8.713,8.89985,8.88635,9.2983,9.02715,9.0442,8.8508,8.2918,8.5097,8.74415,9.30325,9.0206,9.3334,8.73615,7.2185,8.2358,10.5454,8.97205,9.51135,9.3426,8.7164,8.8097,9.18385,8.56205,9.39375,9.7141,9.3507,9.18015
25,9.42005,8.4488,8.23285,9.33775,9.2561,8.9417,8.7158,9.14725,9.7636,9.7745,8.7638,9.0473,9.1218,9.2556,8.6309,9.4301,9.82355,9.08065,9.0663,9.1393,9.41735,7.69785,8.53255,10.0938,8.52545,9.15165,9.14755,9.4869,8.124,9.24115,8.6777,9.6128,9.2238,9.4322,9.41705
31,8.26255,7.6124,7.91675,7.76345,8.3854,7.54595,7.6782,7.36845,8.3524,7.3971,7.81515,7.67115,8.06205,7.35845,7.58375,7.8008,7.33065,7.56445,7.64765,7.4813,7.30265,7.57975,7.6709,9.1579,7.3332,7.7785,7.33155,7.5068,7.4992,7.82675,7.66615,7.9005,7.5176,8.58715,8.50705
32,7.1742,7.2883,7.68875,6.58415,6.81255,6.58425,7.26225,7.19475,7.235,7.2566,6.7893,6.7575,6.83905,6.92305,7.7672,7.28215,7.4248,6.8627,7.3472,6.7405,6.49795,8.5478,7.33445,6.753,7.50985,7.0231,7.6464,6.78135,8.12625,7.44915,7.04995,6.95305,6.91195,6.88235,6.6133
34,8.283,8.49705,8.2396,8.47175,8.57695,8.62485,8.5854,8.3368,8.93715,8.0765,8.7647,8.38215,8.39515,8.35165,8.9162,8.5594,8.32785,8.62325,8.3667,8.28735,8.2345,8.4141,8.1184,8.2859,9.09995,8.24255,8.10345,8.05745,7.8215,8.3854,8.4705,8.2935,8.80395,8.93825,8.40675
39,8.3797,9.05025,9.87935,8.5687,8.7023,8.235,9.12235,8.49175,9.52015,8.37885,8.993,8.52745,8.32605,8.5569,8.8004,9.5956,8.2553,8.72875,8.94915,8.26805,8.5953,9.3407,9.1415,8.6596,9.36895,8.5686,8.8398,8.33215,9.3633,8.80575,8.88475,8.693,8.7613,8.8596,8.4447
40,8.6042,8.8606,8.71955,8.7289,8.4954,8.5929,9.31885,9.4589,8.44655,9.2986,8.51425,9.21545,9.02375,8.61555,10.975,9.03485,9.3521,8.5051,8.99235,9.62315,8.6738,9.84065,8.51185,9.19615,9.10905,8.7715,9.38805,10.338,9.67015,8.9432,9.52445,8.61455,8.5991,8.8311,8.9532
54,9.55595,8.3132,9.6387,9.0373,8.8533,9.75155,9.36875,9.6523,9.07955,9.22525,9.2303,9.7471,8.8063,9.03785,9.17325,8.8208,8.99795,9.296,10.01425,8.0656,9.597,9.26265,9.46385,9.69135,9.4911,9.44825,10.6415,9.16985,9.36105,8.9432,8.73115,8.46975,9.18,9.4319,9.17845
58,8.07145,8.681,7.706,8.09355,8.61585,8.59605,8.39545,7.74685,9.3498,8.85135,7.63425,8.01565,8.1381,7.6363,7.7059,7.8284,9.2531,8.69035,8.409,9.1603,8.3396,7.17795,7.9762,7.8817,6.98795,8.3444,9.5171,7.88835,7.4748,7.8771,8.22915,7.93875,8.0055,8.1463,8.3032
