,Sample_organism_ch1,Sample_type,Sample_source_name_ch1,subtype,Sample_description,Normal
GSM927630,Homo sapiens,RNA,"Peripheral lung tissue,  nonsmoker",NS,Lung tissue_NS1,1
GSM927631,Homo sapiens,RNA,"Peripheral lung tissue,  nonsmoker",NS,Lung tissue_NS2,1
GSM927632,Homo sapiens,RNA,"Peripheral lung tissue,  nonsmoker",NS,Lung tissue_NS3,1
GSM927633,Homo sapiens,RNA,"Peripheral lung tissue,  nonsmoker",NS,Lung tissue_NS4,1
GSM927634,Homo sapiens,RNA,"Peripheral lung tissue,  nonsmoker",NS,Lung tissue_NS5,1
GSM927635,Homo sapiens,RNA,"Peripheral lung tissue,  nonsmoker",NS,Lung tissue_NS6,1
GSM927636,Homo sapiens,RNA,"Peripheral lung tissue,  nonsmoker",NS,Lung tissue_NS7,1
GSM927637,Homo sapiens,RNA,"Peripheral lung tissue,  nonsmoker",NS,Lung tissue_NS8,1
GSM927638,Homo sapiens,RNA,"Peripheral lung tissue,  nonsmoker",NS,Lung tissue_NS9,1
GSM927650,Homo sapiens,RNA,"Peripheral lung tissue, COPD",COPD,Lung tissue_COPD1,0
GSM927651,Homo sapiens,RNA,"Peripheral lung tissue, COPD",COPD,Lung tissue_COPD2,0
GSM927652,Homo sapiens,RNA,"Peripheral lung tissue, COPD",COPD,Lung tissue_COPD3,0
GSM927653,Homo sapiens,RNA,"Peripheral lung tissue, COPD",COPD,Lung tissue_COPD4,0
GSM927654,Homo sapiens,RNA,"Peripheral lung tissue, COPD",COPD,Lung tissue_COPD5,0
GSM927655,Homo sapiens,RNA,"Peripheral lung tissue, COPD",COPD,Lung tissue_COPD6,0
GSM927656,Homo sapiens,RNA,"Peripheral lung tissue, COPD",COPD,Lung tissue_COPD7,0
GSM927657,Homo sapiens,RNA,"Peripheral lung tissue, COPD",COPD,Lung tissue_COPD8,0
GSM927658,Homo sapiens,RNA,"Peripheral lung tissue, COPD",COPD,Lung tissue_COPD9,0
GSM927659,Homo sapiens,RNA,"Peripheral lung tissue, COPD",COPD,Lung tissue_COPD10,0
GSM927660,Homo sapiens,RNA,"Peripheral lung tissue, COPD",COPD,Lung tissue_COPD11,0
GSM927661,Homo sapiens,RNA,"Peripheral lung tissue, COPD",COPD,Lung tissue_COPD12,0
GSM927662,Homo sapiens,RNA,"Peripheral lung tissue, COPD",COPD,Lung tissue_COPD13,0
GSM927663,Homo sapiens,RNA,"Peripheral lung tissue, COPD",COPD,Lung tissue_COPD14,0
GSM927664,Homo sapiens,RNA,"Peripheral lung tissue, COPD",COPD,Lung tissue_COPD15,0
GSM927665,Homo sapiens,RNA,"Peripheral lung tissue, COPD",COPD,Lung tissue_COPD16,0
GSM927666,Homo sapiens,RNA,"Peripheral lung tissue, COPD",COPD,Lung tissue_COPD17,0
GSM927667,Homo sapiens,RNA,"Peripheral lung tissue, COPD",COPD,Lung tissue_COPD18,0
