ID_REF,GSM1276660,GSM1276661,GSM1276662,GSM1276666,GSM1276667,GSM1276668
7892501,2.6298,3.11187,3.80167,3.73868,3.60345,2.13954
7892502,3.75835,3.3383,4.02618,3.407,3.5144,3.29654
7892503,3.95654,3.47297,4.38084,3.39078,4.08617,3.3586
7892504,6.85778,7.11057,7.23946,8.79096,8.13868,8.05997
7892505,2.60514,1.38388,1.75896,1.34887,1.57274,0.95216
7892506,2.49758,3.31878,3.08111,2.52894,3.78159,2.90833
7892507,3.73304,4.04362,4.10283,2.19209,3.42752,3.99879
7892508,5.3014,3.75984,4.74878,4.87759,5.01845,4.5737
7892509,10.86734,10.61591,10.76141,10.83785,10.94487,10.57857
7892510,4.03369,3.01459,4.04844,4.03357,4.22091,4.06724
7892511,1.90666,2.00519,1.66606,1.99036,2.06295,1.70677
7892512,5.28054,4.94584,5.65584,5.96815,5.91998,5.18989
7892513,2.97791,2.62167,3.22054,3.81136,2.93515,3.60566
7892514,9.35512,9.06659,9.11746,10.15223,9.81632,9.67423
7892515,7.13171,6.69804,7.30595,8.094,8.0197,7.45082
7892516,3.61015,4.16958,4.38937,3.46052,4.19403,3.4893
7892517,4.61413,4.34924,4.03425,4.18866,4.48762,4.18974
7892518,2.90277,1.50606,2.01428,2.28603,1.91659,1.96731
7892519,3.46668,2.84589,3.62484,3.68766,3.693,3.60303
7892520,7.88111,7.50768,8.07879,8.07291,8.25671,7.92138
7892521,5.6442,6.06371,6.15657,6.05013,6.08926,5.60065
7892522,5.96977,6.5277,6.41115,6.23195,6.60601,6.4302
7892524,5.51758,4.51248,5.75148,5.62538,5.86702,5.65866
7892525,4.01722,5.21544,4.97169,5.93198,5.67608,4.79949
7892526,4.95162,4.80209,4.44029,4.95609,5.20711,4.69173
7892527,8.30824,8.2991,8.01097,7.90852,8.02121,7.79893
7892528,1.51294,1.05162,1.2851,0.94323,1.02177,0.90504
7892529,4.66455,4.99058,4.61222,4.13782,4.78763,4.52583
7892530,7.83712,7.48314,7.56544,8.11683,7.83571,7.74488
7892531,4.72012,4.03303,4.32163,5.19191,5.2226,4.36162
7892532,1.63822,2.54367,2.28764,1.72193,2.94563,2.78759
7892533,6.67879,5.17502,6.36702,7.03333,7.60502,7.01077
7892534,4.57228,3.2794,3.1515,4.39797,4.02354,4.45789
7892535,2.69386,2.97707,5.21618,5.21618,6.0421,4.88023
7892536,9.70644,9.69075,9.64556,8.98111,9.1173,8.68774
7892537,1.36869,2.11277,1.63502,2.6752,1.57709,1.12324
7892538,2.56696,3.4122,2.95699,4.00599,3.40239,2.81832
7892539,2.66369,3.41641,2.76843,2.40613,2.75485,2.44636
7892540,5.82125,5.6174,5.29129,4.48923,5.3699,3.94738
7892541,7.61337,6.91826,7.20222,7.50328,7.04213,7.15106
7892542,8.02028,7.89454,7.76353,6.67172,6.33216,6.16474
7892543,4.25355,5.32571,4.81597,4.37196,4.77611,4.5874
7892544,3.55042,2.9544,3.78937,4.09713,4.34132,4.34904
7892545,4.69135,4.41404,4.43807,5.06195,4.34362,4.68072
7892547,2.84079,2.95022,3.30458,3.29938,2.3438,3.20836
7892548,5.80228,5.80759,5.26595,6.0736,5.13065,6.09214
7892549,6.79315,6.79734,6.40176,6.44574,6.59038,5.71133
7892550,7.03164,7.08353,6.5835,6.528,6.55866,6.36733
7892551,8.95477,8.88748,9.21945,9.48784,9.49147,9.42729
7892552,4.44524,4.05322,3.69717,4.18004,5.02103,3.34535
7892553,4.84918,2.31276,3.42414,3.46834,4.50045,3.16515
7892554,2.059,2.62165,2.81507,2.82558,2.95225,1.76754
7892555,6.15056,5.12604,5.41307,5.36749,5.42622,4.39711
7892556,12.27784,12.33315,12.26958,11.7674,11.87065,11.88745
7892557,1.48331,1.62018,1.51081,1.75758,1.21803,1.21434
