gene_symbol,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16
NAT2,2.259995537,1.657781753,1.768125027,2.950018552,0.893354444,2.348801792,1.695401474,2.586248331,2.121075097,1.990965749,2.974224589,2.802916968,2.18061892,2.217993747,1.208448588,2.209097717
ADA,9.383220433,9.769720506,9.621515286,9.972477267,9.297131792,10.07294988,8.534061602,9.443215012,10.20153585,10.29548197,10.33694165,10.24658623,10.92935459,10.47539906,10.21273955,10.44311968
CDH2,1.964964139,2.736392731,0.617317292,3.445766425,1.024865729,7.172637522,1.885824228,1.559056124,3.516771607,0.998325502,5.966651949,2.478490395,1.784579361,4.825073261,1.354847056,1.055410862
AKT3,8.192800751,8.38663853,7.144709221,7.383453743,7.418771835,7.235152624,6.720634169,6.936060746,6.683822755,7.239999421,7.812440465,8.158281479,7.496789878,7.076965202,7.617592353,7.777340806
MED6,7.534069386,7.714891151,7.077104107,7.611083832,7.802845902,6.30299527,7.137687947,6.927955696,6.986934216,6.866116702,7.411976982,8.057320294,7.071837736,7.896344515,7.806549622,7.624459184
NR2E3,3.46661407,1.692927055,4.882706624,2.415634291,4.655683839,5.017142464,5.327532884,4.034884779,3.280551056,0.879909611,2.859077027,4.09495386,4.059900339,1.655750232,1.268679912,3.869012639
NAALAD2,4.013649843,0.665774771,4.205142241,1.83060419,3.83287989,5.969228788,1.610255942,2.355095221,4.213339504,1.26446437,1.116843801,2.538615138,0.215889783,2.403807609,1.495198831,3.317781607
NAALADL1,7.007352503,6.529852173,7.240428824,6.682531162,7.647357686,6.295401614,6.470764607,5.692148185,5.959376049,6.904941641,7.438708698,6.430880697,6.845201483,6.658868402,7.308830464,6.956521363
ACOT8,8.331154321,8.149924905,8.763036377,8.156356164,8.311462245,8.385090169,8.726889103,8.226696368,8.151945046,8.282337864,8.471085824,8.938462236,7.878559829,8.813232863,8.520724743,8.667569299
ABI1,9.767457831,9.888942595,9.410497992,9.679522324,10.10760941,9.376869884,9.948126276,10.3022505,10.13035176,9.987590891,9.864232583,9.764111903,10.22941969,9.891842928,10.08438322,10.191269
GNPDA1,8.74899785,9.164233177,8.924073156,8.781972729,8.932229518,9.294237051,8.797457265,8.784975033,9.060976879,9.488201667,9.290385236,9.423603381,9.691658037,9.151818236,9.213126097,9.267238483
ZBTB33,3.51935319,3.778618614,5.18742334,4.809028508,3.517779603,5.059939264,1.102758898,4.686769432,1.521337237,4.120194324,4.084395978,3.601411277,1.562923765,5.446352186,3.648269849,3.151754929
CDH3,1.86089925,2.770714894,2.522349583,2.27962878,2.449759443,4.614574401,1.9670985,2.057616627,2.33763974,1.74800173,1.949646983,2.327397072,2.855154526,3.113935485,4.463321646,3.515926868
TANK,7.459579159,7.580288721,7.416054354,7.714060016,7.603492825,6.635313275,8.479848962,8.913442961,7.971715977,6.161145995,7.144352339,7.820651272,5.165678838,7.605590633,7.432550252,6.238261418
EGOT,5.078934268,4.305292047,5.466134392,4.293429344,4.725877459,4.992161139,4.313260366,3.0024577,2.312214987,0.072887835,4.865107194,2.725760785,2.642505195,2.674216566,3.550445134,0.886776435
LOC100127972,7.832788769,8.249151387,7.901319466,7.986103704,7.726054633,6.669225236,6.858130232,6.634144534,7.802710219,7.394625605,7.893398617,7.936608496,6.627421529,8.417869388,8.206442988,7.86189955
