cold_27h_1	cold_27h_2	cold_27h_3	cold_3h_1	cold_3h_2	cold_3h_3	cold_9h_1	cold_9h_2	cold_9h_3	control_27h_1	control_27h_2	control_27h_3	control_3h_1	control_3h_2	control_3h_3	control_9h_1	control_9h_2	control_9h_3	heat_27h_1	heat_27h_2	heat_27h_3	heat_3h_1	heat_3h_2	heat_3h_3	heat_9h_1	heat_9h_2	heat_9h_3	salt_27h_1	salt_27h_2	salt_27h_3	salt_3h_1	salt_3h_2	salt_3h_3	salt_9h_1	salt_9h_2	salt_9h_3
STMBB01	-0.535331732996556	-0.415037499278844	-0.785875194647153	-0.84684321193858	-0.340075441597622	-0.15200309344505	-0.736965594166206	-1.01741705307741	-0.3040061868901	0.16349873228288	0.116364756691785	-0.0619024389259069	0.0257375614136086	0.00288250853312169	0.0840642647884745	-0.494109070270043	0.0143552929770704	-0.104697378666693	-1.88896868761126	-0.539519529959989	-0.810966175609983	-0.564904848379903	-0.0740005814437769	0.0285691521967709	-1.88896868761126	-0.244685095954902	-0.377069649079823	-0.2688167584278	-0.77595972578207	-0.971430847803229	0.0867837661420667	0.303342394487331	-0.0439433475875971	-0.666576266274808	-0.531156057025363	-0.68965987938785
STMBB02	-0.0439433475875971	0.970853654340484	1.64616265715789	1.20789285164133	1.09085343045111	1.4541758931858	0.641546029087524	1.27500704749987	0.815575428862573	-0.321928094887362	-0.0892673380970874	0.650764559116902	0	-0.234465253637023	0.214124805352847	0.070389327891398	-0.0588936890535686	-0.120294233717712	0.411426245726465	0.238786859587116	0.0426443374084937	-0.200912693925996	-0.62148837674627	0.31034012061215	-0.234465253637023	-0.599462070416271	-0.217591435072627	-0.217591435072627	0.0143552929770701	0.831877241191673	0.238786859587116	-0.577766999316952	0.903038270112912	0.84799690655495	0.495695162624069	0.422233000683048
STMBB03	-1.18442457113743	-0.469929257774916	0.111031312388744	-0.713118852211838	-0.0144995696951151	0.0976107966264223	-0.395928676331139	-0.104697378666693	0.411426245726465	0.238786859587116	0.432959407276106	0.887525270741587	0.0976107966264223	0.16349873228288	0.815575428862573	0.454175893185802	0.454175893185802	0.863938450423972	-0.0740005814437769	0.400537929583729	-0.494109070270043	-0.321928094887362	0.263034405833794	0.604071323668861	-0.234465253637023	-0.120294233717712	0.565597175854225	-0.556393348524385	-0.251538766995965	-0.915935735211525	0.298658315564515	-0.168122758808327	0.641546029087524	0.176322772640463	-0.340075441597622	-0.15200309344505
STMBB04	-0.0892673380970874	0.124328135002202	-0.0740005814437769	-0.136061549576028	-0.184424571137427	0.321928094887362	0.27500704749987	-0.0291463456595165	0.214124805352847	0.0976107966264223	0.189033824390017	0.263034405833794	0.189033824390017	0.454175893185802	0.443606651475615	0.176322772640463	0.356143810225275	0.176322772640463	-0.184424571137427	0.214124805352847	0.137503523749935	-0.0144995696951151	-0.168122758808327	0.321928094887362	-0.340075441597622	0.250961573533219	0.400537929583729	-0.184424571137427	0.124328135002202	-0.0144995696951151	-0.0291463456595165	0.286881147788162	0.0976107966264223	-0.0892673380970874	-0.200912693925996	-0.0740005814437769
STMBB05	0.286881147788162	0.0285691521967709	0.0840642647884745	-0.0528949484321253	-0.0439433475875971	0.150559676575381	0.27500704749987	-0.184424571137427	-0.0892673380970874	-0.136061549576028	-0.0892673380970874	-0.0588936890535686	-0.0291463456595163	-0.136061549576028	-0.136061549576028	-0.104697378666693	-0.120294233717712	-0.340075441597622	0.137503523749935	0.20163386116965	0.389566811762726	0.111031312388744	-0.120294233717712	0.0426443374084937	0.189033824390017	0.333423733725192	0.0565835283663675	0.0565835283663675	0.111031312388744	0.137503523749935	-0.321928094887362	-0.120294233717712	0.0426443374084937	0	0.137503523749935	0.189033824390017
STMBB08	-0.200912693925996	-0.217591435072627	-0.2688167584278	-0.0439433475875971	0.0976107966264223	0.176322772640463	0.0976107966264223	0.214124805352847	0.20163386116965	0.0565835283663675	-0.0740005814437769	-0.0740005814437769	-0.0892673380970874	-0.0144995696951151	-0.0439433475875971	0.070389327891398	-0.0439433475875971	-0.104697378666693	-0.3040061868901	-0.251538766995965	0.0285691521967709	-0.358453970912476	-0.15200309344505	-0.217591435072627	-0.184424571137427	-0.0892673380970874	0	-0.0740005814437769	-0.217591435072627	-0.415037499278844	-0.234465253637023	0.176322772640463	-0.217591435072627	-0.168122758808327	-0.321928094887362	-0.234465253637023
STMBB13	0.454175893185802	0.575312330687437	0.516015147003665	-0.666576266274808	0.443606651475615	0.150559676575381	0.367371065648529	-0.395928676331139	0.367371065648529	-0.184424571137427	0.0285691521967709	0.367371065648529	0.111031312388744	0.432959407276106	0.367371065648529	0.0285691521967709	-0.0892673380970874	-0.15200309344505	0.124328135002202	-0.0740005814437769	0.432959407276106	0.389566811762726	0.0143552929770701	0.594548549550354	-0.415037499278844	-0.168122758808327	0.0840642647884745	0.411426245726465	0.27500704749987	0.879705766282288	0.0565835283663675	0.31034012061215	0.422233000683048	0.7311832415722	0.367371065648529	0.464668267003444
STMBB18	-0.785875194647153	-1.15200309344505	-1.18442457113743	-1.13289427049735	-0.698997743967186	-0.434402824145775	-0.915935735211525	-1.47393118833241	-0.599462070416271	0.124328135002202	-0.114035243246029	-0.136061549576028	-0.101598140007807	-0.0144995696951153	-0.0740005814437769	-0.15200309344505	-0.234465253637023	-0.251538766995965	-0.713118852211838	-0.248107861595691	-0.518701058452435	-0.457989644463391	0.0676387168753633	-0.0439433475875971	-1.21759143507263	-0.168122758808327	-0.3040061868901	-0.377069649079823	-0.68965987938785	-1.09541956507868	-0.123433941248279	0.100304905795685	-0.104697378666693	-0.535331732996556	-0.862496476250065	-0.736965594166206
STMBB23	1.0703893278914	1.71369581484336	1.02856915219677	1.72683121703249	1.38956681176273	1.43829285157915	0.286881147788162	0.565597175854225	0.216610068742442	0.37851162325373	0.034215715337913	0.0285691521967709	0.0840642647884745	-0.104697378666693	-0.434402824145775	0.233888060174277	-0.888968687611256	-0.2688167584278	3.16349873228288	0.308011314552178	-0.810966175609983	0.575312330687437	-0.136061549576028	0.284514133244245	0.61541629726287	-1.21759143507263	0.00575926928868495	0.760433874670111	1.25096157353322	0.903038270112912	0.094911647025467	0.070389327891398	0.659924558402378	0.790772037862	-0.184424571137427	0.250961573533219
STMBB24	0.75702324650746	0.263034405833794	1.54101915313356	-0.0740005814437769	0.22650852980868	0.189033824390017	0.443606651475615	-0.810966175609983	-0.321928094887362	-0.286304185156641	-0.915935735211525	0.0840642647884745	0.454175893185802	-0.200912693925996	-0.943416471633633	0.250961573533219	-1.08926733809709	-0.184424571137427	1.65535182861255	-1.39592867633114	0.333423733725192	0.432959407276106	-0.0144995696951151	-0.736965594166206	0.632268215499513	-2.25153876699596	-1.05889368905357	0.678071905112638	-0.535331732996556	1.87184364850932	-0.217591435072627	0.432959407276106	-0.415037499278844	1.15704371014558	-0.68965987938785	0.7311832415722
